,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.001861,0.004222,0.0,4e-06,0.000134,0.001575,0.032072
dr-ibt,500.0,0.005409,0.007053,0.0,0.000516,0.00253,0.00759,0.050597
dr-ibt (tau=0),500.0,0.006107,0.009135,0.0,0.000716,0.00249,0.007264,0.073903
dm,500.0,0.050395,0.019193,0.010207,0.035641,0.048524,0.063708,0.105679
dr,500.0,0.005783,0.007625,0.0,0.000691,0.002852,0.008164,0.052716
mrdr,500.0,0.004451,0.006059,0.0,0.000529,0.002099,0.005621,0.045912
dr-os (oracle),500.0,0.003246,0.006568,0.0,2.5e-05,0.000317,0.003194,0.053044
dr-os,500.0,0.005736,0.007576,0.0,0.000676,0.00277,0.008067,0.053044
switch-dr (oracle),500.0,0.003313,0.006348,0.0,0.000107,0.000711,0.003153,0.050717
switch-dr,500.0,0.005783,0.007625,0.0,0.000691,0.002852,0.008164,0.052716
