,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),300.0,0.014256,0.027487,0.0,0.000736,0.002666,0.016953,0.166809
dr-ibt,300.0,0.017916,0.03113,0.0,0.001225,0.005383,0.023488,0.218449
dr-ibt (tau=0),300.0,0.014671,0.028903,1e-06,0.00194,0.00257,0.016366,0.246874
dm,300.0,0.651849,0.044398,0.520428,0.62341,0.653527,0.680892,0.780089
dr,300.0,0.03598,0.052498,0.0,0.004554,0.016677,0.041964,0.308737
mrdr,300.0,0.015943,0.02336,0.0,0.002135,0.007049,0.020812,0.216541
dr-os (oracle),300.0,0.02291,0.035342,1e-06,0.003711,0.013821,0.028098,0.311018
dr-os,300.0,0.034187,0.049742,1e-06,0.004457,0.015362,0.040124,0.311018
switch-dr (oracle),300.0,0.018854,0.035912,0.0,0.001567,0.006742,0.019665,0.308737
switch-dr,300.0,0.03598,0.052498,0.0,0.004554,0.016677,0.041964,0.308737
