,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),300.0,0.054608,0.042822,0.0,0.021369,0.048608,0.076753,0.262822
dr-ibt,300.0,0.090329,0.049704,0.008092,0.056226,0.080718,0.112922,0.2874
dr-ibt (tau=0),300.0,0.07941,0.066829,1.8e-05,0.028621,0.065589,0.112837,0.363281
dm,300.0,0.370464,0.026773,0.283002,0.353778,0.371358,0.387476,0.453378
dr,300.0,0.080368,0.050402,0.001322,0.042174,0.071865,0.111262,0.291462
mrdr,300.0,0.081317,0.054897,8.7e-05,0.042321,0.068866,0.110371,0.34168
dr-os (oracle),300.0,0.084491,0.046773,0.000263,0.049183,0.078719,0.117396,0.238638
dr-os,300.0,0.084491,0.046773,0.000263,0.049183,0.078719,0.117396,0.238638
switch-dr (oracle),300.0,0.077497,0.048116,0.000866,0.040258,0.069379,0.105254,0.271952
switch-dr,300.0,0.078917,0.049096,0.000866,0.041838,0.070209,0.107521,0.279671
