,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),300.0,0.087012,0.068689,1e-06,0.030438,0.076925,0.124494,0.308306
dr-ibt,300.0,0.14337,0.09274,0.0003,0.071996,0.125331,0.19827,0.548834
dr-ibt (tau=0),300.0,0.328426,0.04766,0.210842,0.297708,0.325297,0.359823,0.455952
dm,300.0,0.363114,0.045463,0.237449,0.334174,0.36275,0.39545,0.491441
dr,300.0,0.095981,0.081077,1e-06,0.033918,0.077726,0.137856,0.415475
mrdr,300.0,0.095965,0.088391,1e-06,0.027743,0.076173,0.134431,0.490294
dr-os (oracle),300.0,0.097641,0.078656,2e-06,0.033355,0.083789,0.144386,0.380431
dr-os,300.0,0.098108,0.079894,2e-06,0.033355,0.083789,0.144386,0.391116
switch-dr (oracle),300.0,0.077927,0.066295,2e-06,0.021666,0.062053,0.117397,0.295196
switch-dr,300.0,0.082589,0.071167,1.8e-05,0.022772,0.064594,0.12362,0.341614
