,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),300.0,0.021617,0.032353,0.0,0.001408,0.008417,0.0293,0.230282
dr-ibt,300.0,0.025158,0.035384,1e-06,0.002282,0.014474,0.03379,0.283981
dr-ibt (tau=0),300.0,0.023056,0.033247,1.1e-05,0.001863,0.009153,0.031008,0.230282
dm,300.0,0.669733,0.046328,0.524857,0.638224,0.674908,0.698635,0.799637
dr,300.0,0.040286,0.059057,1e-06,0.003985,0.01793,0.052588,0.443001
mrdr,300.0,0.019409,0.028171,0.0,0.001551,0.008791,0.021468,0.180889
dr-os (oracle),300.0,0.025813,0.036485,1e-06,0.003671,0.014243,0.034328,0.327028
dr-os,300.0,0.038381,0.054996,1e-06,0.004173,0.017139,0.049353,0.384872
switch-dr (oracle),300.0,0.021459,0.035853,0.0,0.001588,0.007602,0.026994,0.323385
switch-dr,300.0,0.040286,0.059057,1e-06,0.003985,0.01793,0.052588,0.443001
