,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),300.0,0.093831,0.073047,2.8e-05,0.034433,0.085284,0.136379,0.336982
dr-ibt,300.0,0.142347,0.094945,1e-06,0.074811,0.119947,0.18819,0.49019
dr-ibt (tau=0),300.0,0.325761,0.049965,0.177943,0.290922,0.321691,0.360758,0.498829
dm,300.0,0.365826,0.047467,0.247081,0.332281,0.364571,0.396179,0.49924
dr,300.0,0.100582,0.07733,1.3e-05,0.038025,0.090822,0.150601,0.328235
mrdr,300.0,0.102219,0.086451,4e-06,0.033378,0.081018,0.14948,0.445473
dr-os (oracle),300.0,0.095671,0.079306,2.3e-05,0.033227,0.074783,0.143396,0.338163
dr-os,300.0,0.096221,0.080181,2.3e-05,0.03402,0.074783,0.143396,0.370023
switch-dr (oracle),300.0,0.089179,0.072688,0.0,0.032316,0.07649,0.127096,0.359876
switch-dr,300.0,0.092789,0.077541,0.0,0.033021,0.079142,0.130755,0.413792
