,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),300.0,0.000124,0.000143,0.0,1.2e-05,7.1e-05,0.000198,0.000701
dr-ibt,300.0,0.00013,0.000142,0.0,2.5e-05,7.4e-05,0.0002,0.000696
dr-ibt (tau=0),300.0,0.001803,7.5e-05,0.001495,0.001761,0.001812,0.001851,0.001967
dm,300.0,0.712978,0.011357,0.677652,0.704782,0.712238,0.720692,0.74444
dr,300.0,0.003677,0.004575,0.0,0.000528,0.002016,0.005484,0.024538
mrdr,300.0,0.000486,0.000677,0.0,5.5e-05,0.000223,0.000666,0.005426
dr-os (oracle),300.0,0.003478,0.004442,0.0,0.000415,0.00185,0.004777,0.02746
dr-os,300.0,0.003478,0.004442,0.0,0.000415,0.00185,0.004777,0.02746
switch-dr (oracle),300.0,0.001867,0.003338,0.0,9.1e-05,0.000585,0.002045,0.024538
switch-dr,300.0,0.003677,0.004575,0.0,0.000528,0.002016,0.005484,0.024538
