,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),300.0,0.04517,0.029819,0.0,0.024197,0.044656,0.064079,0.139002
dr-ibt,300.0,0.069914,0.02105,0.025922,0.054039,0.066303,0.083107,0.136209
dr-ibt (tau=0),300.0,0.066033,0.058579,0.000268,0.024095,0.057828,0.105006,0.283988
dm,300.0,0.362805,0.012714,0.328384,0.354642,0.363259,0.370739,0.398019
dr,300.0,0.070099,0.021245,0.015469,0.056204,0.068034,0.084514,0.130448
mrdr,300.0,0.068212,0.021743,0.020007,0.052325,0.066488,0.081344,0.134366
dr-os (oracle),300.0,0.073511,0.023861,0.023084,0.05552,0.069877,0.088599,0.1496
dr-os,300.0,0.073511,0.023861,0.023084,0.05552,0.069877,0.088599,0.1496
switch-dr (oracle),300.0,0.067744,0.02249,0.015347,0.051608,0.066717,0.08158,0.140928
switch-dr,300.0,0.068078,0.022621,0.015347,0.051945,0.067392,0.08158,0.143374
