,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),300.0,0.000559,0.00085,0.0,6.4e-05,0.000283,0.000753,0.006599
dr-ibt,300.0,0.000935,0.002054,0.0,9.6e-05,0.000343,0.000807,0.016549
dr-ibt (tau=0),300.0,0.002479,0.000425,0.000373,0.002416,0.002536,0.002634,0.004921
dm,300.0,0.682683,0.02696,0.597869,0.665265,0.68501,0.701953,0.770934
dr,300.0,0.016048,0.022546,0.0,0.001647,0.007187,0.022009,0.149377
mrdr,300.0,0.005272,0.007194,0.0,0.000704,0.002846,0.006666,0.05728
dr-os (oracle),300.0,0.013193,0.016653,1e-06,0.001781,0.007256,0.019849,0.155604
dr-os,300.0,0.015369,0.021278,1e-06,0.001781,0.007256,0.020568,0.155604
switch-dr (oracle),300.0,0.009178,0.0156,0.0,0.000672,0.003246,0.011395,0.149377
switch-dr,300.0,0.016048,0.022546,0.0,0.001647,0.007187,0.022009,0.149377
