,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),300.0,0.071374,0.013239,0.036415,0.062968,0.070624,0.080755,0.109568
dr-ibt,300.0,0.073126,0.013317,0.038113,0.064098,0.072494,0.082362,0.118539
dr-ibt (tau=0),300.0,0.333779,0.007991,0.312946,0.327779,0.334139,0.339733,0.35611
dm,300.0,0.373503,0.008377,0.343644,0.36788,0.374098,0.379386,0.398922
dr,300.0,0.071761,0.013248,0.032698,0.061606,0.070542,0.07924,0.108229
mrdr,300.0,0.071743,0.010829,0.047611,0.064142,0.071051,0.078892,0.101276
dr-os (oracle),300.0,0.075293,0.014054,0.043797,0.064749,0.07567,0.084477,0.113758
dr-os,300.0,0.075293,0.014054,0.043797,0.064749,0.07567,0.084477,0.113758
switch-dr (oracle),300.0,0.071941,0.013757,0.038084,0.062035,0.071399,0.080791,0.109389
switch-dr,300.0,0.072072,0.013793,0.038084,0.062044,0.07153,0.080844,0.109389
