,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),300.0,0.07721,0.042647,2.6e-05,0.045731,0.071256,0.106827,0.230608
dr-ibt,300.0,0.091097,0.049243,0.007884,0.055846,0.083421,0.119513,0.317356
dr-ibt (tau=0),300.0,0.327739,0.028329,0.261529,0.306481,0.326736,0.345943,0.410472
dm,300.0,0.372466,0.026734,0.297635,0.354417,0.371822,0.390178,0.450057
dr,300.0,0.078329,0.047123,0.000111,0.041644,0.074806,0.106768,0.247066
mrdr,300.0,0.077688,0.048842,0.000454,0.039515,0.072105,0.104983,0.267315
dr-os (oracle),300.0,0.081078,0.047853,0.004679,0.045295,0.074429,0.102808,0.270477
dr-os,300.0,0.081078,0.047853,0.004679,0.045295,0.074429,0.102808,0.270477
switch-dr (oracle),300.0,0.078294,0.045171,0.000235,0.044715,0.070809,0.10356,0.22487
switch-dr,300.0,0.080749,0.047639,0.001585,0.045057,0.073236,0.105102,0.266503
