,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),300.0,0.015862,0.026447,0.0,0.001048,0.004511,0.020932,0.199515
dr-ibt,300.0,0.019539,0.02946,0.0,0.001331,0.007788,0.026593,0.212768
dr-ibt (tau=0),300.0,0.016088,0.026291,5e-06,0.001402,0.003887,0.020931,0.195709
dm,300.0,0.662589,0.044749,0.523734,0.633301,0.663229,0.691768,0.791292
dr,300.0,0.036396,0.048442,0.0,0.004,0.016928,0.05352,0.339931
mrdr,300.0,0.016322,0.024849,2e-06,0.002261,0.008617,0.019871,0.186149
dr-os (oracle),300.0,0.02702,0.036758,0.0,0.003548,0.015202,0.033926,0.266058
dr-os,300.0,0.034559,0.04517,0.0,0.003704,0.017259,0.052526,0.267644
switch-dr (oracle),300.0,0.020771,0.036579,0.0,0.000876,0.005887,0.02059,0.261573
switch-dr,300.0,0.036396,0.048442,0.0,0.004,0.016928,0.05352,0.339931
