,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),300.0,0.017466,0.028701,0.0,0.000693,0.003914,0.023146,0.226974
dr-ibt,300.0,0.022483,0.032766,0.0,0.001382,0.00857,0.029686,0.264131
dr-ibt (tau=0),300.0,0.017342,0.028297,4e-06,0.001848,0.003335,0.021704,0.226974
dm,300.0,0.669047,0.044758,0.529438,0.639119,0.667102,0.697838,0.789068
dr,300.0,0.039742,0.056268,0.0,0.003133,0.016406,0.048973,0.311268
mrdr,300.0,0.018067,0.025559,0.0,0.001607,0.007979,0.02554,0.204016
dr-os (oracle),300.0,0.025896,0.038773,0.0,0.002674,0.012899,0.030321,0.295657
dr-os,300.0,0.038344,0.053151,0.0,0.003001,0.016909,0.050935,0.295657
switch-dr (oracle),300.0,0.024537,0.039305,0.0,0.001239,0.00771,0.029723,0.288892
switch-dr,300.0,0.039742,0.056268,0.0,0.003133,0.016406,0.048973,0.311268
